,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_epsilon,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.004870176315307617,6.787717349093718e-05,0.0012183189392089844,2.6819705857161534e-05,2.451559316590413,0.1813855092407312,4005.539698610082,"{'gamma': 2.451559316590413, 'epsilon': 0.1813855092407312, 'C': 4005.539698610082}",6.103580248732522,8.147116221564243,6.648159563296286,6.9670727845835785,0.8649887095478115,8
1,0.004897514979044597,0.0001495985340326631,0.0014598369598388672,0.0001919259195714406,2.451559316590413,0.18360572947094983,3269.8544836819738,"{'gamma': 2.451559316590413, 'epsilon': 0.18360572947094983, 'C': 3269.8544836819738}",6.103788224749454,8.147100053475933,6.648296069266065,6.967182155549702,0.8648952692020013,7
2,0.004960298538208008,0.0001008169531361832,0.001273790995279948,7.499198176511014e-05,5.938228483304182,0.20289993676544332,7186.767760490153,"{'gamma': 5.938228483304182, 'epsilon': 0.20289993676544332, 'C': 7186.767760490153}",6.079797458633493,8.14653478146231,6.661722878908045,6.963429995511415,0.871113718943374,10
3,0.004794756571451823,0.0002444770921264545,0.001213391621907552,9.1335028957104e-06,1.414374502927787,0.33656972692332665,6978.818063865506,"{'gamma': 1.414374502927787, 'epsilon': 0.33656972692332665, 'C': 6978.818063865506}",6.135204480802135,8.145414317267766,6.653044216497813,6.978691739480554,0.853104943257137,4
4,0.004221757253011067,0.0002344159738787324,0.0010848840077718098,8.461527286660617e-06,3.4733901046127156,0.9363072135191023,24410.1602442526,"{'gamma': 3.4733901046127156, 'epsilon': 0.9363072135191023, 'C': 24410.1602442526}",6.171836525109078,8.141134179297714,6.708495780051948,7.007894751539301,0.8321317832923317,2
5,0.004077355066935222,0.0003479131006766671,0.0010727246602376301,1.1512323355504239e-05,5.244294663892547,0.9856701352835178,1132.0017312604948,"{'gamma': 5.244294663892547, 'epsilon': 0.9856701352835178, 'C': 1132.0017312604948}",6.16343705760148,8.140804268564166,6.717827478222245,7.008072923549859,0.8337180238598699,1
6,0.004321177800496419,0.00020782938408089562,0.0010983943939208984,5.571041796468698e-06,5.93460608759991,0.6303614812062046,8268.518733556637,"{'gamma': 5.93460608759991, 'epsilon': 0.6303614812062046, 'C': 8268.518733556637}",6.125197125442214,8.143442892411995,6.690499150237984,6.987112100351999,0.851017143720164,3
7,0.004801750183105469,5.9678032518717184e-05,0.0011859734853108723,3.079529731195991e-05,3.382172015283302,0.1813855092407312,13308.82561404385,"{'gamma': 3.382172015283302, 'epsilon': 0.1813855092407312, 'C': 13308.82561404385}",6.092528340408031,8.147026089579498,6.6521951127238355,6.96468810186463,0.868158442517916,9
8,0.0046490828196207685,0.00011084956974808826,0.0012636184692382812,9.588478743867383e-05,1.494274653153967,0.3370747817391847,1113.666742001337,"{'gamma': 1.494274653153967, 'epsilon': 0.3370747817391847, 'C': 1113.666742001337}",6.133638774510964,8.145601430329002,6.653536220918704,6.978394260535896,0.8536457677166605,5
9,0.004706780115763347,0.00022096316406145067,0.0011936028798421223,6.035753105814465e-06,1.722943396645831,0.2383904504474224,29082.622766780816,"{'gamma': 1.722943396645831, 'epsilon': 0.2383904504474224, 'C': 29082.622766780816}",6.120198286918771,8.146555037681336,6.648158965601824,6.9724381193357905,0.8592069440267692,6
